152 631 141
887 27 565
223 373 410
459 134 870
756 410 200
517 467 901
326 106 813
605 909 171
137 120 915
311 554 102
167 616 402
444 556 810
618 291 991
128 822 975
168 917 772
263 499 109
499 660 712
151 164 274
716 453 526
122 381 813
949 214 780
990 301 722
186 885 457
386 312 817
753 960 643
475 56 654
238 438 123
865 37 553
871 292 784
983 73 149
454 786 902
400 717 648
327 470 838
66 149 998
111 824 649
532 893 384
397 617 110
302 507 658
126 7 942
243 958 68
906 636 623
498 685 301
198 987 985
946 801 239
330 706 765
168 279 745
678 551 568
311 723 436
769 207 723
205 929 466
11 363 748
704 817 708
868 626 981
630 512 817
229 922 852
973 103 729
604 656 728
441 417 106
138 17 587
151 116 373
447 863 320
511 892 459
34 660 313
8 661 387
240 36 823
807 66 102
608 159 694
420 831 824
875 919 616
91 403 774
34 502 660
786 318 51
448 708 966
178 948 792
351 96 102
85 474 22
989 49 341
806 71 157
440 473 147
344 31 68
136 969 396
437 206 277
727 700 974
910 450 644
777 937 32
502 921 646
266 147 53
181 601 423
191 859 659
681 253 495
427 373 935
135 677 143
781 107 671
991 221 895
161 574 403
759 92 422
987 190 867
246 857 655
301 383 577
569 943 236
365 833 68
150 747 295
656 176 79
954 686 838
350 931 214
780 207 508
362 47 269
794 16 693
658 905 975
643 214 788
726 768 723
357 46 831
799 857 954
60 984 427
503 745 726
308 629 851
931 347 227
968 54 795
410 538 729
2 30 360
584 733 274
819 668 400
215 335 423
937 614 725
208 528 140
980 30 775
169 26 914
256 70 753
523 910 238
813 970 233
259 620 209
596 495 707
175 642 844
883 248 381
323 48 489
89 564 901
510 167 538
637 194 834
39 504 166
856 307 553
891 669 659
499 279 898
993 861 345
211 110 168
295 880 583
837 219 455
359 805 460
551 501 791
117 989 54
723 287 498
38 925 101
954 643 763
398 714 269
565 618 251
205 192 959
583 156 47
159 936 457
634 543 804
390 9 483
191 685 74
266 806 412
249 249 156
152 642 938
293 513 589
163 530 8
394 17 422
374 378 913
477 630 893
771 340 88
119 55 843
305 105 154
289 118 132
244 811 242
571 535 753
385 979 900
575 84 873
226 925 89
606 343 587
117 119 379
631 952 550
916 326 560
430 189 977
754 387 790
195 15 624
161 163 297
933 867 308
941 868 947
770 909 280
511 43 156
890 239 715
718 846 220
28 491 386
703 836 130
80 99 54
954 717 891
730 245 806
886 149 551
582 293 62
801 711 897
160 967 475
522 118 438
146 663 146
131 170 529
88 690 550
200 94 195
938 122 923
982 144 430
471 890 575
93 931 256
215 838 654
154 740 74
216 200 463
53 810 171
618 571 590
819 501 305
248 61 883
272 737 339
714 792 521
111 525 611
513 337 544
667 798 793
605 258 613
241 949 824
823 717 366
431 785 889
369 830 117
969 456 708
10 694 964
27 262 73
758 850 537
9 723 929
315 935 611
853 759 710
137 22 944
814 173 668
150 713 128
738 828 598
696 359 703
308 304 346
398 325 577
691 340 483
816 374 472
60 748 487
985 632 809
991 837 599
929 107 503
469 16 529
868 49 705
156 550 509
302 505 127
315 257 233
976 136 466
693 776 198
906 843 163
374 150 245
206 881 772
447 872 201
979 259 552
520 362 718
190 859 626
470 22 677
168 840 576
487 722 223
523 845 280
679 440 212
649 269 629
652 716 912
524 558 416
473 902 299
135 503 45
644 168 844
501 548 432
330 206 969
920 663 555
93 246 991
975 567 593
779 393 214
172 331 627
786 609 233
297 455 946
358 948 505
643 537 312
85 276 209
127 130 703
104 771 757
537 320 121
611 60 523
361 539 575
513 135 187
14 156 991
719 995 194
882 774 252
802 904 778
874 837 692
446 601 299
350 225 725
323 504 748
538 908 4
500 892 651
670 497 900
194 76 603
212 427 52
390 634 422
941 943 825
560 166 259
845 726 67
872 83 875
635 160 46
679 304 644
899 579 179
423 366 623
846 163 14
422 854 983
350 600 576
718 230 742
719 135 456
460 747 353
463 728 641
314 901 2
356 829 699
454 293 897
221 291 573
451 878 38
993 0 884
97 654 523
414 947 93
838 529 283
479 688 156
376 473 390
389 975 427
853 257 596
821 938 112
539 465 985
916 884 502
627 149 851
739 65 708
291 790 213
518 190 553
248 793 27
371 543 511
485 525 824
316 945 216
521 615 804
423 520 782
863 386 16
653 61 49
623 73 709
66 913 310
244 316 149
49 565 643
320 917 358
703 188 476
316 560 225
635 519 803
2 681 590
779 289 751
906 339 882
238 287 575
913 580 677
238 341 692
432 66 938
706 863 82
584 710 260
434 181 128
440 575 727
66 80 359
555 295 198
0 630 566
200 717 469
23 219 846
37 540 514
291 552 564
351 197 437
784 232 844
472 486 691
156 345 910
370 558 384
277 298 360
706 47 927
588 281 87
733 776 734
641 65 1
467 626 312
656 641 358
748 686 975
260 201 971
823 504 935
456 433 553
475 645 462
764 987 916
706 446 39
344 734 983
372 290 540
683 81 253
823 610 554
269 916 879
618 923 705
424 35 265
630 103 90
318 360 319
451 912 203
662 473 558
711 715 170
236 227 74
781 798 620
392 472 442
826 544 226
824 674 885
803 402 261
489 45 250
986 604 801
149 372 113
111 445 840
981 253 829
179 291 936
243 665 114
318 980 121
148 786 920
38 162 955
217 420 622
945 637 559
766 434 576
688 679 974
449 430 895
748 275 145
163 535 667
479 313 789
625 48 437
601 191 512
216 796 180
28 86 900
396 772 529
969 641 567
323 88 661
536 806 78
232 314 996
302 304 181
692 713 80
417 155 882
751 633 141
875 24 561
116 259 813
708 193 952
290 630 968
322 150 735
960 0 451
223 189 346
19 827 409
221 954 816
443 846 449
355 312 8
796 163 193
473 160 971
